"PK","MATRICULA","FECHA_RADICA_TEXTO","FECHA_APERTURA_TEXTO","YEAR_RADICA","ORIP","DIVIPOLA","DEPARTAMENTO","MUNICIPIO","TIPO_PREDIO_ZONA","CATEGORIA_RURALIDAD","NUM_ANOTACION","ESTADO_FOLIO","FOLIOS_DERIVADOS","Dinámica_Inmobiliaria","COD_NATUJUR","NOMBRE_NATUJUR","NUMERO_CATASTRAL","NUMERO_CATASTRAL_ANTIGUO","DOCUMENTO_JUSTIFICATIVO","COUNT_A","COUNT_DE","PREDIOS_NUEVOS","TIENE_VALOR","TIENE_MAS_DE_UN_VALOR","VALOR"
"52838-254-010870-00006-00843-2021","254-10870","2021-12-17 00:00:00","1982-03-10 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","6",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 1175 DE 22-11-2021; NOTARIA PRIMERA DE TUQUERRES","3","1","0","0","0",
"52838-254-010870-00007-00604-2021","254-10870","2021-12-17 00:00:00","1982-03-10 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","7",,,"1","604","COMPRAVENTA DE COSA AJENA",,,"01-ESCRITURA 1175 DE 22-11-2021; NOTARIA PRIMERA DE TUQUERRES","3","3","0","1","0","25,000,000"
"52838-254-010881-00018-00841-2019","254-10881","2019-08-15 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","18",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"06-SENTENCIA S.N DE 13-09-2018;","1","1","0","0","0",
"52838-254-010881-00019-00109-2019","254-10881","2019-08-15 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","19",,,"1","109","ADJUDICACIÓN EN SUCESION",,,"06-SENTENCIA S.N DE 13-09-2018;","4","1","0","0","0",
"52838-254-010881-00020-00901-2019","254-10881","2019-08-15 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","20",,,"0","901","ACLARACIÓN",,,"04-OFICIO 0458 DE 19-06-2019; JU","4","1","0","0","0",
"52838-254-010881-00021-00307-2019","254-10881","2019-10-25 00:00:00","1982-03-12 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","21",,,"1","307","COMPRAVENTA DERECHOS DE CUOTA",,,"01-ESCRITURA 821 DE 18-10-2019;","3","3","0","0","0",
"52838-254-010948-00009-00494-2017","254-10948","2017-08-11 00:00:00","1982-04-02 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","9",,,"0","494","PROHIBICIÓN DE ENAJENAR ART. 97 LEY 906 DE 2004",,,"04-OFICIO 0637 DE 03-08-2017; JU","0","1","0","0","0",
"52838-254-010948-00010-00302-2019","254-10948","2019-06-11 00:00:00","1982-04-02 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","10",,,"1","302","ADJUDICACIÓN SUCESIÓN NUDA PROPIEDAD",,,"01-ESCRITURA 291 DE 26-04-2019;","4","2","0","0","0",
"52838-254-010948-00011-00843-2019","254-10948","2019-06-11 00:00:00","1982-04-02 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","11",,,"0","843","CANCELACIÓN POR VOLUNTAD DE LAS PARTES",,,"01-ESCRITURA 444 DE 10-06-2019;","0","2","0","0","0",
"52838-254-010948-00012-00901-2019","254-10948","2019-06-11 00:00:00","1982-04-02 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","12",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 444 DE 10-06-2019;","4","2","0","0","0",
"52838-254-010948-00013-00918-2020","254-10948","2020-12-30 00:00:00","1982-04-02 00:00:00","2020","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","13",,,"0","918","DIVISIÓN MATERIAL",,,"01-ESCRITURA 477 DE 20-10-2020;","0","4","0","0","0",
"52838-254-010948-00014-00904-2020","254-10948","2020-12-30 00:00:00","1982-04-02 00:00:00","2020","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","14",,,"0","904","ACTUALIZACIÓN DE NOMENCLATURA",,,"01-ESCRITURA 716 DE 29-12-2020;","0","4","0","0","0",
"52838-254-010954-00009-00841-2023","254-10954","2023-11-20 00:00:00","1982-04-05 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","9",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"04-OFICIO 0605 DE 31-08-2023; JUZGADO 001 PROMISCUO DE FAMILIA DE CIRCUITO DE TUQUERRES DE TUQUERRES","1","1","0","0","0",
"52838-254-010954-00010-00901-2023","254-10954","2023-11-20 00:00:00","1982-04-05 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","10",,,"0","901","ACLARACIÓN",,,"04-OFICIO 0764 DE 16-11-2023; JUZGADO 001 PROMISCUO DE FAMILIA DE CIRCUITO DE TUQUERRES DE TUQUERRES","0","1","0","0","0",
"52838-254-010955-00016-00841-2017","254-10955","2017-04-21 00:00:00","1982-04-05 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","16",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"04-OFICIO 0315-17 DE 21-04-2017;","1","1","0","0","0",
"52838-254-011022-00015-00841-2018","254-11022","2018-09-13 00:00:00","1982-04-26 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","15",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"04-OFICIO 1542 DE 05-09-2018; JU","1","1","0","0","0",
"52838-254-011022-00016-00901-2019","254-11022","2019-09-02 00:00:00","1982-04-26 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","16",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 741 DE 29-08-2019;","0","1","0","0","0",
